paralog1	paralog2	avg_log_V1	avg_log_V2	avg_log_S1	avg_log_S2
PTETEGNP01167	PTETEGNP26263	0.353651357166698	0.630081842202632	0.840853881077692	0.66291573413014
PTETEGNP01170	PTETEGNP26264	0.0953101798043249	3.15419400971604	0.638409214671048	2.29625346903363
PTETEGNP01174	PTETEGNP26268	4.09351835082266	0.30001563992838	4.4872983207555	1.33520588004128
PTETEGNP01206	PTETEGNP26307	1.56598492211918	1.41903409556946	2.27948247463523	0.975316890459697
PTETEGNP01207	PTETEGNP26308	0.137067240214207	3.06885146408983	0.775732018391882	3.08618704884927
PTETEGNP01362	PTETEGNP24416	0.701778049006418	0.601980408350642	0.577738033456544	1.07360535384561
PTETEGNP01419	PTETEGNP24478	2.96170310496639	0.566415618748393	2.38620618138041	2.32093454352224
PTETEGNP01434	PTETEGNP24500	0.686339410777205	1.67070546918797	1.87951802971996	2.2216748188809
PTETEGNP01436	PTETEGNP24502	0.409606339308595	0.0953101798043249	0.589645586230581	0.400256371254316
PTETEGNP01453	PTETEGNP24518	0.439392386525125	0.45242584209946	0.917977667606887	0.388195437128403
PTETEGNP01500	PTETEGNP24560	1.10218602459698	1.547582682845	2.11874102336741	1.56566242083866
PTETEGNP01515	PTETEGNP24579	0.678531314519097	1.40563819390379	0.919649830746065	0.973504625582048
PTETEGNP01530	PTETEGNP24522	1.24231656897686	2.45560921351153	2.56976560112345	1.93020095857681
PTETEGNP01565	PTETEGNP10319	1.64216285133705	0.140694543121906	1.96734684640944	0.641383102868733
PTETEGNP01568	PTETEGNP10322	0.32129945074872	0.211174143168824	0.316947358430663	0.43287105589393
PTETEGNP01574	PTETEGNP10330	2.02711304788518	1.0227804087126	1.71290566266528	1.63389740550129
PTETEGNP01619	PTETEGNP10372	0.352575948484875	0.882752043322178	2.41325777686142	1.29604404785528
PTETEGNP01632	PTETEGNP10383	0.479442178728782	1.48021661870684	1.31709692531122	1.70069767468263
PTETEGNP01640	PTETEGNP10390	0.421254481782225	2.45370362030271	1.31747074769618	2.47319038551371
PTETEGNP01665	PTETEGNP10408	0.439784777996236	0.152543236110688	0.555149314049452	0.387940483468303
PTETEGNP01673	PTETEGNP10414	0.514000745708498	0.447389182080006	1.20029634584536	0.520391067736896
PTETEGNP01712	PTETEGNP10445	0.953318248688121	0.275742884328443	0.659476062170483	0.700309681247266
PTETEGNP01807	PTETEGNP07552	1.46403971626966	0.398471541565216	1.1851212711074	2.75150648225602
PTETEGNP01899	PTETEGNP05511	0.24533765492612	0.247655259602978	0.459707914375698	1.06151959660083
PTETEGNP01905	PTETEGNP05517	1.60203869963906	0.257409540393842	2.21283929128802	1.09674550160717
PTETEGNP01920	PTETEGNP05530	1.61502454609601	0.68019225401574	2.01986321646512	4.03348131330701
PTETEGNP01929	PTETEGNP05541	0.424177831091638	0.258254689226818	0.684891603890184	0.791346996205326
PTETEGNP01930	PTETEGNP05542	0.664342305774587	0.228171063186766	0.74693644321285	0.631661782606645
