paralog1	paralog2	VK1_para1	VK1_para2	V1-2_para1	V1-2_para2	S1.1_para1	S1.1_para2	S1.2_para1	S1.2_para2	T0.1_para1	T0.1_para2	T0.2_para1	T0.2_para2	T5.1_para1	T5.1_para2	T5.2_para1	T5.2_para2	T11.1_para1	T11.1_para2	T11.2_para1	T11.2_para2	T20.1_para1	T20.1_para2	T20.2_para1	T20.2_para2	T20.3_para1	T20.3_para2
PTETEGNP09452	PTETEGNP13432	57.5693	49.3575	51.8816	42.2258	25.7857	17.0271	30.1295	21.0785	19.5485	11.2412	23.6394	13.5013	19.8395	13.5281	18.4726	12.9565	17.1618	13.2021	16.2055	11.9286	21.3583	17.6109	22.7085	20.4474	19.7336	14.1109
PTETEGNP09455	PTETEGNP13430	1.9396	1.20049	1.70138	1.38603	2.90517	1.53565	2.79537	2.28138	2.71482	1.83112	2.18985	2.5199	1.8363	1.94171	2.72815	2.3112	2.19338	1.37346	3.5335	1.83284	3.58129	2.34143	3.05965	2.37784	2.59105	2.00087
PTETEGNP09456	PTETEGNP13428	24.795	109.892	15.4439	99.8329	18.3833	66.4336	14.7438	65.296	28.9514	47.4709	19.462	46.6493	32.4886	42.1494	27.333	53.3027	38.0842	44.4577	37.6116	57.3256	51.5181	110.29	32.4456	100.844	26.9082	48.9686
PTETEGNP09458	PTETEGNP13425	0.184192	0.184192	0.192596	0.330164	0.367541	0.781025	0.246247	1.13889	0.410823	0.718941	0.301822	0.33955	0.559934	0.719915	0.550143	0.71195	0.695253	0.512292	0.656024	0.570455	0.712321	0.765086	0.557626	0.855026	0.307496	0.341662
PTETEGNP09459	PTETEGNP13424	0.907733	3.02498	0.806795	2.85891	0.791035	4.41592	0.742306	5.24633	1.60966	4.59135	1.709	5.18195	4.25259	4.83512	3.29407	4.90762	4.44589	4.20014	4.06449	3.72559	3.46949	4.47615	2.78605	4.65022	4.86918	3.8156
PTETEGNP09461	PTETEGNP13423	0.131876	1.8181	0	1.72582	0.501929	4.85445	0.519867	4.66932	0.609909	7.84995	0.212521	6.69908	0	2.84214	0.351308	3.96136	0	3.27458	0.41679	7.71918	0.753358	5.06484	0.888962	3.20676	2.26932	2.34297
PTETEGNP09462	PTETEGNP13422	8.22891	2.77242	9.12602	2.48902	6.63646	2.78373	5.49313	1.80764	5.64103	4.10801	4.1568	3.79942	8.10062	3.6723	5.48776	3.78924	11.6056	4.39009	6.22952	4.51795	8.09505	3.98542	6.88544	2.8774	4.28662	3.10482
PTETEGNP09464	PTETEGNP13419	3.16511	33.0595	3.35467	32.9034	9.46192	28.6856	8.6924	26.1447	7.12732	21.4058	7.13713	22.4831	4.32272	19.2002	4.66173	17.9916	3.61495	17.739	3.5904	15.6861	3.77355	19.4862	3.59779	18.3461	4.60359	17.0216
PTETEGNP09470	PTETEGNP13039	0.213585	0.347063	0.217704	0.862368	0.212197	0.877182	0.285223	0.758289	0.511375	0.52893	0.349687	0.568156	0.421812	1.47103	0.299119	0.662467	0.241743	2.29883	0.559464	0.615951	0.558939	1.26417	0.643101	0.972485	0.587897	1.21563
PTETEGNP09473	PTETEGNP13051	0.974167	0.747961	1.14625	0.336123	5.35353	5.34872	6.19348	5.05351	8.80219	8.31634	8.0841	7.01567	4.00114	6.84418	5.06528	6.64404	2.32445	8.41422	2.19675	9.00127	1.06633	5.08503	1.36515	4.36957	0.66593	2.88809
PTETEGNP09474	PTETEGNP13052	1.81059	22.8012	1.49589	25.7974	1.48765	21.1287	1.48565	25.3609	2.32047	21.1367	2.07262	24.0056	1.43019	18.0205	2.28736	25.1137	1.98644	17.6659	1.75388	22.4087	2.19355	19.9692	2.39159	19.8572	1.77603	17.9666
PTETEGNP09476	PTETEGNP13053	410.722	202.665	334.6	177.629	318.194	294.564	234.707	224.893	313.939	317.093	214.744	220.815	301.106	272.096	224.179	270.899	300.553	287.779	221.327	276.272	281.21	351.931	172.35	245.678	145.352	246.256
PTETEGNP09477	PTETEGNP13054	6.97821	10.6812	9.10959	10.6865	13.3997	17.7387	17.8597	19.272	17.2747	19.0428	20.7325	22.9601	17.4089	18.6381	26.6216	23.1562	1.07501	1.97207	1.49004	2.07662	2.88685	4.66367	3.42444	4.41313	1.51252	1.51066
PTETEGNP09479	PTETEGNP13055	325.781	1076.96	330.594	1046.16	378.9	1224.76	352.004	1040.48	391.755	1233.39	354.258	996.976	506.992	1643.45	404.536	1171.54	486.583	1856.72	505.54	1630.28	453.982	1886.1	382.864	1519.29	400.065	1608.71
PTETEGNP09480	PTETEGNP13056	21.9797	8.71193	18.2877	7.17333	28.4927	6.61854	24.2948	4.72534	26.0372	8.0224	22.2231	5.8469	38.6078	5.73037	26.6712	6.3608	36.7347	6.07432	23.6578	6.93143	26.3668	8.03751	23.1643	6.32463	28.6635	4.66701
PTETEGNP09481	PTETEGNP13057	69.1371	65.32	74.0717	90.5688	53.1402	88.2575	57.5896	114.302	59.1645	112.155	66.2749	145.432	66.2584	189.801	79.5328	231.949	74.9889	240.529	92.0643	313.41	117.24	312.627	125.077	425.302	75.7569	351.103
